7 Z: 0.99)
LSM6DSO | Gyro: (X: 18.98 Y: 18.38 Z: -15.98) | Accl: (X: -0.24 Y: 0.21 Z: 0.99)
LSM6DSO | Gyro: (X: 18.13 Y: 7.24 Z: -13.07) | Accl: (X: -0.26 Y: 0.22 Z: 1.00)
LSM6DSO | Gyro: (X: 10.88 Y: -21.30 Z: -6.29) | Accl: (X: -0.12 Y: 0.23 Z: 0.90)
LSM6DSO | Gyro: (X: 4.16 Y: -27.75 Z: -10.77) | Accl: (X: -0.10 Y: 0.23 Z: 0.91)
LSM6DSO | Gyro: (X: -0.48 Y: -35.51 Z: -15.32) | Accl: (X: -0.10 Y: 0.24 Z: 0.95)
LSM6DSO | Gyro: (X: -3.51 Y: -71.59 Z: -20.95) | Accl: (X: -0.09 Y: 0.22 Z: 0.95)
LSM6DSO | Gyro: (X: -8.85 Y: -89.14 Z: -27.88) | Accl: (X: -0.01 Y: 0.22 Z: 0.96)
LSM6DSO | Gyro: (X: -13.48 Y: -112.84 Z: -39.17) | Accl: (X: 0.04 Y: 0.22 Z: 0.99)
LSM6DSO | Gyro: (X: -30.10 Y: -175.10 Z: -66.50) | Accl: (X: 0.08 Y: 0.18 Z: 0.93)
LSM6DSO | Gyro: (X: -35.81 Y: -171.86 Z: -61.84) | Accl: (X: 0.10 Y: 0.16 Z: 1.01)
LSM6DSO | Gyro: (X: -33.37 Y: -160.14 Z: -52.95) | Accl: (X: 0.14 Y: 0.10 Z: 1.05)
LSM6DSO | Gyro: (X: -22.68 Y: -203.19 Z: -77.21) | Accl: (X: 0.47 Y: 0.17 Z: 0.86)
LSM6DSO | Gyro: (X: -33.25 Y: -218.81 Z: -83.47) | Accl: (X: 0.46 Y: 0.18 Z: 0.80)
LSM6DSO | Gyro: (X: -40.79 Y: -229.88 Z: -83.65) | Accl: (X: 0.51 Y: 0.13 Z: 0.83)
LSM6DSO | Gyro: (X: -33.31 Y: -194.27 Z: -64.34) | Accl: (X: 0.63 Y: 0.16 Z: 0.78)
LSM6DSO | Gyro: (X: -34.02 Y: -200.00 Z: -60.71) | Accl: (X: 0.72 Y: 0.14 Z: 0.75)
LSM6DSO | Gyro: (X: -31.82 Y: -187.62 Z: -59.21) | Accl: (X: 0.80 Y: 0.15 Z: 0.75)
LSM6DSO | Gyro: (X: -4.77 Y: -131.31 Z: -43.37) | Accl: (X: 0.81 Y: 0.23 Z: 0.57)
LSM6DSO | Gyro: (X: 0.74 Y: -99.96 Z: -32.86) | Accl: (X: 0.81 Y: 0.22 Z: 0.51)
LSM6DSO | Gyro: (X: 2.94 Y: -70.39 Z: -22.10) | Accl: (X: 0.79 Y: 0.26 Z: 0.46)
LSM6DSO | Gyro: (X: -0.12 Y: -42.37 Z: -1.30) | Accl: (X: 0.91 Y: 0.26 Z: 0.36)
LSM6DSO | Gyro: (X: -5.05 Y: -43.04 Z: -5.46) | Accl: (X: 0.94 Y: 0.28 Z: 0.35)
LSM6DSO | Gyro: (X: -10.05 Y: -40.85 Z: -6.54) | Accl: (X: 0.91 Y: 0.23 Z: 0.35)
LSM6DSO | Gyro: (X: -2.84 Y: -21.00 Z: -10.96) | Accl: (X: 0.91 Y: 0.25 Z: 0.41)
LSM6DSO | Gyro: (X: -1.34 Y: -10.46 Z: -6.49) | Accl: (X: 0.87 Y: 0.25 Z: 0.40)
LSM6DSO | Gyro: (X: 1.24 Y: 1.55 Z: 0.51) | Accl: (X: 0.88 Y: 0.23 Z: 0.40)
LSM6DSO | Gyro: (X: 23.00 Y: 99.73 Z: 41.31) | Accl: (X: 0.84 Y: 0.21 Z: 0.51)
LSM6DSO | Gyro: (X: 32.24 Y: 122.81 Z: 54.44) | Accl: (X: 0.81 Y: 0.20 Z: 0.53)
LSM6DSO | Gyro: (X: 41.36 Y: 139.97 Z: 65.16) | Accl: (X: 0.83 Y: 0.21 Z: 0.51)
LSM6DSO | Gyro: (X: 32.33 Y: 175.39 Z: 75.48) | Accl: (X: 0.86 Y: 0.17 Z: 0.58)
LSM6DSO | Gyro: (X: 30.96 Y: 177.41 Z: 72.09) | Accl: (X: 0.82 Y: 0.16 Z: 0.63)
LSM6DSO | Gyro: (X: 28.53 Y: 176.22 Z: 69.40) | Accl: (X: 0.77 Y: 0.15 Z: 0.69)
LSM6DSO | Gyro: (X: 34.12 Y: 197.15 Z: 80.50) | Accl: (X: 0.54 Y: 0.10 Z: 0.87)
LSM6DSO | Gyro: (X: 35.54 Y: 190.15 Z: 78.96) | Accl: (X: 0.49 Y: 0.10 Z: 0.86)
LSM6DSO | Gyro: (X: 29.78 Y: 170.72 Z: 72.59) | Accl: (X: 0.49 Y: 0.11 Z: 0.85)
LSM6DSO | Gyro: (X: 0.46 Y: 76.99 Z: 19.84) | Accl: (X: 0.39 Y: 0.06 Z: 1.00)
LSM6DSO | Gyro: (X: -0.44 Y: 61.18 Z: 9.10) | Accl: (X: 0.34 Y: 0.07 Z: 1.03)
LSM6DSO | Gyro: (X: 0.72 Y: 46.52 Z: 1.16) | Accl: (X: 0.29 Y: 0.06 Z: 1.04)
LSM6DSO | Gyro: (X: 0.59 Y: -14.60 Z: -6.82) | Accl: (X: 0.19 Y: 0.05 Z: 1.11)
LSM6DSO | Gyro: (X: 7.08 Y: -11.44 Z: -0.51) | Accl: (X: 0.14 Y: 0.04 Z: 1.15)
LSM6DSO | Gyro: (X: 16.21 Y: -9.90 Z: 7.20) | Accl: (X: 0.16 Y: 0.04 Z: 1.11)
LSM6DSO | Gyro: (X: 12.75 Y: -1.23 Z: 41.20) | Accl: (X: 0.10 Y: 0.06 Z: 1.00)
LSM6DSO | Gyro: (X: 14.45 Y: 4.68 Z: 54.79) | Accl: (X: 0.06 Y: 0.05 Z: 1.02)
LSM6DSO | Gyro: (X: 17.05 Y: 6.24 Z: 69.22) | Accl: (X: 0.08 Y: 0.05 Z: 1.02)
LSM6DSO | Gyro: (X: 9.77 Y: 51.87 Z: 140.06) | Accl: (X: 0.09 Y: 0.06 Z: 0.84)
LSM6DSO | Gyro: (X: 2.33 Y: 58.21 Z: 153.98) | Accl: (X: 0.07 Y: 0.03 Z: 0.82)
LSM6DSO | Gyro: (X: -4.80 Y: 62.79 Z: 162.82) | Accl: (X: 0.10 Y: 0.00 Z: 0.85)
LSM6DSO | Gyro: (X: -40.66 Y: 31.29 Z: 157.61) | Accl: (X: 0.01 Y: -0.09 Z: 0.89)
LSM6DSO | Gyro: (X: -49.26 Y: 10.99 Z: 154.50) | Accl: (X: -0.02 Y: -0.12 Z: 0.94)
LSM6DSO | Gyro: (X: -54.52 Y: -11.67 Z: 154.48) | Accl: (X: -0.03 Y: -0.16 Z: 0.99)
LSM6DSO | Gyro: (X: -23.34 Y: -15.35 Z: 138.27) | Accl: (X: 0.43 Y: -0.27 Z: 1.15)
LSM6DSO | Gyro: (X: -17.43 Y: -21.98 Z: 117.71) | Accl: (X: 0.50 Y: -0.25 Z: 1.13)
LSM6DSO | Gyro: (X: -13.49 Y: -33.07 Z: 91.13) | Accl: (X: 0.52 Y: -0.22 Z: 1.07)
LSM6DSO | Gyro: (X: -13.39 Y: -17.00 Z: 12.83) | Accl: (X: 0.58 Y: -0.26 Z: 1.05)
LSM6DSO | Gyro: (X: -8.37 Y: -3.67 Z: -0.87) | Accl: (X: 0.55 Y: -0.30 Z: 1.05)
LSM6DSO | Gyro: (X: -5.64 Y: 2.63 Z: -12.57) | Accl: (X: 0.58 Y: -0.32 Z: 1.03)
LSM6DSO | Gyro: (X: 7.47 Y: 20.17 Z: -91.89) | Accl: (X: 0.51 Y: -0.36 Z: 1.03)
LSM6DSO | Gyro: (X: 12.01 Y: 26.46 Z: -103.79) | Accl: (X: 0.45 Y: -0.35 Z: 1.04)
LSM6DSO | Gyro: (X: 17.95 Y: 39.83 Z: -108.48) | Accl: (X: 0.42 Y: -0.41 Z: 1.04)
LSM6DSO | Gyro: (X: 26.87 Y: 45.61 Z: -186.45) | Accl: (X: 0.45 Y: -0.35 Z: 0.95)
LSM6DSO | Gyro: (X: 23.47 Y: 40.66 Z: -205.76) | Accl: (X: 0.35 Y: -0.34 Z: 1.02)
LSM6DSO | Gyro: (X: 26.78 Y: 37.37 Z: -219.46) | Accl: (X: 0.20 Y: -0.36 Z: 1.01)
LSM6DSO | Gyro: (X: 26.23 Y: 47.95 Z: -181.68) | Accl: (X: -0.15 Y: -0.30 Z: 0.94)
LSM6DSO | Gyro: (X: 25.11 Y: 47.52 Z: -168.71) | Accl: (X: -0.12 Y: -0.25 Z: 0.92)
LSM6DSO | Gyro: (X: 22.77 Y: 32.74 Z: -166.07) | Accl: (X: -0.01 Y: -0.21 Z: 0.91)
LSM6DSO | Gyro: (X: 5.52 Y: 4.65 Z: -235.45) | Accl: (X: 0.25 Y: -0.31 Z: 1.03)
LSM6DSO | Gyro: (X: 7.11 Y: 4.08 Z: -246.05) | Accl: (X: 0.10 Y: -0.34 Z: 1.09)
LSM6DSO | Gyro: (X: 10.96 Y: 5.68 Z: -250.58) | Accl: (X: -0.03 Y: -0.34 Z: 1.15)
LSM6DSO | Gyro: (X: 39.93 Y: 5.70 Z: -186.40) | Accl: (X: -0.48 Y: -0.10 Z: 0.98)
LSM6DSO | Gyro: (X: 36.45 Y: -11.65 Z: -161.75) | Accl: (X: -0.50 Y: -0.04 Z: 0.97)
LSM6DSO | Gyro: (X: 36.51 Y: -12.17 Z: -139.41) | Accl: (X: -0.52 Y: 0.02 Z: 0.97)
LSM6DSO | Gyro: (X: 33.25 Y: -13.73 Z: -86.63) | Accl: (X: -0.57 Y: 0.06 Z: 0.93)
LSM6DSO | Gyro: (X: 6.71 Y: -6.68 Z: -7.50) | Accl: (X: -0.44 Y: 0.08 Z: 0.88)
LSM6DSO | Gyro: (X: -1.38 Y: -7.78 Z: 6.80) | Accl: (X: -0.37 Y: 0.06 Z: 0.91)
LSM6DSO | Gyro: (X: -8.06 Y: -0.02 Z: 20.65) | Accl: (X: -0.33 Y: 0.05 Z: 0.96)
LSM6DSO | Gyro: (X: -1.62 Y: -25.64 Z: 53.02) | Accl: (X: -0.31 Y: 0.02 Z: 1.10)
LSM6DSO | Gyro: (X: 1.27 Y: -28.52 Z: 62.64) | Accl: (X: -0.30 Y: -0.00 Z: 1.08)
LSM6DSO | Gyro: (X: 3.85 Y: -27.92 Z: 74.62) | Accl: (X: -0.30 Y: -0.03 Z: 1.08)
LSM6DSO | Gyro: (X: 20.42 Y: -56.69 Z: 141.29) | Accl: (X: -0.31 Y: -0.11 Z: 1.06)
LSM6DSO | Gyro: (X: 22.27 Y: -49.94 Z: 159.89) | Accl: (X: -0.18 Y: -0.11 Z: 0.98)
LSM6DSO | Gyro: (X: 20.19 Y: -48.26 Z: 170.84) | Accl: (X: -0.10 Y: -0.12 Z: 0.91)
LSM6DSO | Gyro: (X: -15.09 Y: -60.21 Z: 196.31) | Accl: (X: -0.02 Y: -0.18 Z: 0.89)
LSM6DSO | Gyro: (X: -16.40 Y: -53.87 Z: 206.83) | Accl: (X: 0.03 Y: -0.27 Z: 0.91)
LSM6DSO | Gyro: (X: -14.81 Y: -37.83 Z: 219.13) | Accl: (X: 0.10 Y: -0.34 Z: 0.97)
LSM6DSO | Gyro: (X: 6.19 Y: -35.92 Z: 207.03) | Accl: (X: 0.23 Y: -0.31 Z: 0.98)
LSM6DSO | Gyro: (X: 7.75 Y: -39.81 Z: 203.69) | Accl: (X: 0.22 Y: -0.35 Z: 0.93)
LSM6DSO | Gyro: (X: 5.99 Y: -35.28 Z: 204.43) | Accl: (X: 0.21 Y: -0.39 Z: 0.89)
LSM6DSO | Gyro: (X: 2.96 Y: -70.32 Z: 185.47) | Accl: (X: 0.36 Y: -0.50 Z: 1.04)
